n,m,parseTime,SATime,SearchTime,Description
33,20,131,16,2,sameChar
33,21,115,15,2,sameChar
33,22,108,16,5,sameChar
33,23,104,15,3,sameChar
33,24,107,15,3,sameChar
33,25,105,16,3,sameChar
33,26,105,14,5,sameChar
33,27,105,21,4,sameChar
33,28,119,15,4,sameChar
33,29,109,15,4,sameChar
33,30,106,15,3,sameChar
33,31,107,16,3,sameChar
33,32,104,15,4,sameChar
34,1,107,16,1,sameChar
34,2,107,17,1,sameChar
34,3,102,16,1,sameChar
34,4,104,17,2,sameChar
34,5,104,17,2,sameChar
34,6,123,16,2,sameChar
34,7,112,18,3,sameChar
34,8,125,17,2,sameChar
34,9,106,17,4,sameChar
34,10,150,17,2,sameChar
34,11,113,16,2,sameChar
34,12,130,17,2,sameChar
34,13,122,16,2,sameChar
34,14,126,22,2,sameChar
34,15,392,16,3,sameChar
34,16,162,17,2,sameChar
34,17,129,17,3,sameChar
34,18,155,17,3,sameChar
34,19,147,16,3,sameChar
34,20,156,16,3,sameChar
34,21,139,16,3,sameChar
34,22,113,17,2,sameChar
34,23,115,17,3,sameChar
34,24,117,16,5,sameChar
34,25,111,16,3,sameChar
34,26,110,16,3,sameChar
34,27,111,17,3,sameChar
34,28,122,15,5,sameChar
34,29,190,13,5,sameChar
34,30,146,13,5,sameChar
34,31,155,13,4,sameChar
34,32,167,13,5,sameChar
34,33,167,13,4,sameChar
35,1,144,24,3,sameChar
35,2,148,14,2,sameChar
35,3,133,14,2,sameChar
35,4,136,15,2,sameChar
35,5,142,14,3,sameChar
35,6,129,13,7,sameChar
35,7,146,14,2,sameChar
35,8,138,14,2,sameChar
35,9,257,14,4,sameChar
35,10,136,14,3,sameChar
35,11,127,15,3,sameChar
35,12,149,15,4,sameChar
35,13,145,13,4,sameChar
35,14,153,13,5,sameChar
35,15,137,13,4,sameChar
35,16,133,13,3,sameChar
35,17,148,14,4,sameChar
35,18,136,13,3,sameChar
35,19,154,13,5,sameChar
35,20,186,24,4,sameChar
35,21,172,13,11,sameChar
35,22,210,19,4,sameChar
35,23,233,13,5,sameChar
35,24,219,14,4,sameChar
35,25,205,14,10,sameChar
35,26,152,13,5,sameChar
35,27,169,13,4,sameChar
35,28,418,14,9,sameChar
35,29,162,14,4,sameChar
35,30,164,14,4,sameChar
35,31,157,14,4,sameChar
35,32,175,14,4,sameChar
35,33,162,124,6,sameChar
35,34,152,13,4,sameChar
36,1,136,16,3,sameChar
36,2,146,15,2,sameChar
36,3,150,16,3,sameChar
36,4,154,15,3,sameChar
36,5,130,17,4,sameChar
36,6,130,16,8,sameChar
36,7,131,15,3,sameChar
36,8,133,15,2,sameChar
36,9,128,21,3,sameChar
36,10,132,14,3,sameChar
36,11,125,16,3,sameChar
36,12,326,14,5,sameChar
36,13,126,14,4,sameChar
36,14,123,14,4,sameChar
36,15,144,14,3,sameChar
36,16,122,15,3,sameChar
36,17,137,19,4,sameChar
36,18,131,22,4,sameChar
36,19,124,16,4,sameChar
36,20,150,16,4,sameChar
36,21,128,14,8,sameChar
36,22,160,15,5,sameChar
36,23,137,16,4,sameChar
36,24,130,14,3,sameChar
36,25,181,16,4,sameChar
36,26,155,14,5,sameChar
36,27,157,14,5,sameChar
36,28,200,14,5,sameChar
36,29,151,15,5,sameChar
36,30,196,16,5,sameChar
36,31,160,14,4,sameChar
36,32,156,13,5,sameChar
36,33,173,14,4,sameChar
36,34,144,14,6,sameChar
36,35,155,14,4,sameChar
37,1,146,23,7,sameChar
37,2,150,14,3,sameChar
37,3,155,346,6,sameChar
37,4,147,14,2,sameChar
37,5,129,14,3,sameChar
37,6,127,15,2,sameChar
37,7,128,14,2,sameChar
37,8,129,14,3,sameChar
37,9,131,20,2,sameChar
37,10,163,14,3,sameChar
37,11,124,15,4,sameChar
37,12,125,15,4,sameChar
37,13,126,15,3,sameChar
37,14,127,15,28,sameChar
